Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-10-17,TCS.NS,4112.7998046875,4129.9501953125,4092.949951171875,4109.0,3961.211669921875,2522659
2024-10-18,TCS.NS,4090.0,4146.14990234375,4080.0,4123.0498046875,3984.452880859375,2361000
2024-10-21,TCS.NS,4132.60009765625,4139.9501953125,4070.0,4079.85009765625,3942.70556640625,1595450
2024-10-22,TCS.NS,4066.0,4089.800048828125,4006.35009765625,4015.5,3880.5185546875,1928049
2024-10-23,TCS.NS,3999.60009765625,4113.5498046875,3995.14990234375,4066.25,3929.5625,1966476
2024-10-24,TCS.NS,4004.0,4079.0,4004.0,4047.89990234375,3911.829345703125,2676744
2024-10-25,TCS.NS,4057.050048828125,4092.0,4032.699951171875,4057.550048828125,3921.155029296875,1759676
2024-10-28,TCS.NS,4068.949951171875,4134.0,4051.0,4090.85009765625,3953.335693359375,1532534
2024-10-29,TCS.NS,4095.85009765625,4103.5,4060.10009765625,4075.25,3938.260009765625,1445885
2024-10-30,TCS.NS,4075.0,4107.0,4060.050048828125,4084.64990234375,3947.34375,1935002
2024-10-31,TCS.NS,4070.0,4078.300048828125,3960.0,3968.449951171875,3835.050048828125,3740372
2024-11-01,TCS.NS,3989.85009765625,3998.949951171875,3976.050048828125,3984.199951171875,3850.2705078125,154895
2024-11-04,TCS.NS,3966.300048828125,3991.89990234375,3913.25,3964.14990234375,3830.89453125,2269192
2024-11-05,TCS.NS,3941.10009765625,3986.0,3941.10009765625,3971.35009765625,3837.8525390625,967590
2024-11-06,TCS.NS,4003.60009765625,4149.7998046875,3975.25,4139.64990234375,4000.494873046875,3792017
2024-11-07,TCS.NS,4169.7001953125,4205.7998046875,4085.050048828125,4150.89990234375,4011.36669921875,3724349
2024-11-08,TCS.NS,4155.0,4169.75,4117.64990234375,4147.0,4007.59814453125,1648039
2024-11-11,TCS.NS,4128.2001953125,4234.2998046875,4117.64990234375,4198.7001953125,4057.56005859375,1406487
2024-11-12,TCS.NS,4216.0,4218.0,4164.35009765625,4197.39990234375,4056.303466796875,1587640
2024-11-13,TCS.NS,4178.10009765625,4196.75,4131.0498046875,4150.35009765625,4010.835205078125,1098813
2024-11-14,TCS.NS,4135.0,4160.0,4116.4501953125,4145.89990234375,4006.534912109375,1825432
2024-11-18,TCS.NS,4213.0,4213.0,3990.199951171875,4019.5,3884.3837890625,3313944
2024-11-19,TCS.NS,4019.89990234375,4132.14990234375,4014.10009765625,4039.550048828125,3903.760009765625,1776233
2024-11-21,TCS.NS,4044.89990234375,4092.449951171875,4024.0,4072.85009765625,3935.940673828125,2384347
2024-11-22,TCS.NS,4071.0,4254.9501953125,4054.0,4244.60009765625,4101.91748046875,3096553
2024-11-25,TCS.NS,4280.0,4328.10009765625,4252.2001953125,4315.10009765625,4170.04736328125,4052167
2024-11-26,TCS.NS,4321.0498046875,4366.60009765625,4310.0,4352.7001953125,4206.3837890625,2060669
2024-11-27,TCS.NS,4358.9501953125,4377.39990234375,4324.0498046875,4332.5498046875,4186.91064453125,1558993
2024-11-28,TCS.NS,4319.0,4339.9501953125,4233.0,4244.89990234375,4102.20703125,2558544
2024-11-29,TCS.NS,4220.0,4298.7001953125,4195.64990234375,4270.85009765625,4127.28466796875,2017425
2024-12-02,TCS.NS,4270.0,4288.2001953125,4230.0498046875,4276.64990234375,4132.8896484375,1670944
2024-12-03,TCS.NS,4314.35009765625,4325.0,4265.4501953125,4302.75,4158.11279296875,2010905
2024-12-04,TCS.NS,4313.5498046875,4386.9501953125,4289.0498046875,4354.39990234375,4208.0263671875,3302642
2024-12-05,TCS.NS,4400.7998046875,4489.0,4360.0,4464.0498046875,4313.990234375,3746747
2024-12-06,TCS.NS,4453.0,4465.0,4412.75,4445.5,4296.06396484375,1842087
2024-12-09,TCS.NS,4430.4501953125,4469.39990234375,4415.5498046875,4452.14990234375,4302.490234375,2066639
2024-12-10,TCS.NS,4426.14990234375,4493.7998046875,4412.10009765625,4432.5498046875,4283.54931640625,2087828
2024-12-11,TCS.NS,4431.85009765625,4448.64990234375,4407.0,4427.4501953125,4278.62109375,1635256
2024-12-12,TCS.NS,4430.0498046875,4485.0,4426.0,4454.9501953125,4305.1962890625,1914642
2024-12-13,TCS.NS,4434.9501953125,4494.89990234375,4394.39990234375,4473.89990234375,4323.509765625,1967048
2024-12-16,TCS.NS,4459.0,4475.0,4397.0,4415.2001953125,4266.78271484375,1646224
2024-12-17,TCS.NS,4410.0,4432.9501953125,4318.0,4328.5,4182.99658203125,3225027
2024-12-18,TCS.NS,4311.7001953125,4362.0,4289.60009765625,4347.85009765625,4201.6962890625,1575404
2024-12-19,TCS.NS,4282.0,4364.0,4262.0,4271.89990234375,4128.298828125,3015763
2024-12-20,TCS.NS,4329.0,4382.0,4152.5,4170.2998046875,4030.114501953125,4116989
2024-12-23,TCS.NS,4200.0498046875,4217.0,4114.89990234375,4158.2998046875,4018.51806640625,2195338
2024-12-24,TCS.NS,4158.2998046875,4218.0,4158.2998046875,4179.5,4039.005126953125,1181886
2024-12-26,TCS.NS,4179.5,4199.9501953125,4143.14990234375,4169.10009765625,4028.955078125,1208464
2024-12-27,TCS.NS,4163.0,4180.9501953125,4147.25,4164.85009765625,4024.8486328125,858100
